year,murders,m_art_rt
1960,5.1,0.08520682019082683
1961,4.8,0.11462023757649244
1962,4.6,0.075206338409362
1963,4.6,0.10043695849182939
1964,4.9,0.23387320279869886
1965,5.1,0.22109621820708059
1966,5.6,0.2457416698172009
1967,6.2,0.1824578271130146
1968,6.9,0.2846888362097614
1969,7.3,0.3312131602028987
1970,7.9,0.48423314827315433
1971,8.6,0.47431505629820603
1972,9.0,0.7411546924662079
1973,9.4,1.021412037037037
1974,9.8,1.0100786844664487
1975,9.6,0.9762423412331251
1976,8.7,0.6706674109911922
1977,8.8,0.8405649892169202
1978,9.0,0.9404388714733543
1979,9.8,0.6121854047225731
1980,10.2,0.6470397929472662
1981,9.8,0.9743021367631518
1982,9.1,1.0340450700106993
1983,8.3,0.988227260656795
1984,7.9,0.877281796253834
1985,8.0,0.9687963232877052
1986,8.6,0.9474322126952317
1987,8.3,0.5542877769144647
1988,8.4,0.4936692354026043
1989,8.7,0.5357757905882052
1990,9.4,0.6434488860291161
1991,9.8,0.9648219415686486
1992,9.3,1.012805855859312
1993,9.5,0.9739969618443391
1994,9.0,1.2292470233104142
1995,8.2,1.446983102870476
1996,7.4,1.1437758765755033
1997,6.8,1.1511748189744346
1998,6.3,0.9643744588592225
1999,5.7,0.812789913421701
2000,5.5,0.7416779091008849
2001,5.6,0.7941436384914853
2002,5.6,0.9269764634882317
2003,5.7,0.7931725672966957
2004,5.5,0.8921658986175115
2005,5.6,0.9055372452834322
2006,5.7,0.9151914517567399
2007,5.6,0.49577996812843067
2008,5.4,0.2828244886234954
2009,5.0,0.21059045980410607
2010,4.8,0.20351580934403019
2011,4.7,0.26745685093609894
2012,4.7,0.2924833685927663
2013,4.5,0.29523837226213673
2014,4.4,0.3166031734290047
2015,4.9,0.35073820075429346
2016,5.4,0.3465712175444577
2017,5.3,0.31726166952092394
2018,5.0,0.3676976620720845
2019,5.0,0.43172429193494355
