year,sentence
1984,"  uf812       LOUISVILLE, Ky., Dec. 24 - William J. Schroeder, the recipient of the world's second permanent artificial heart, would probably be leaving the hospital now if he had not suffered three strokes, his surgeon, Dr. William C. DeVries, said today.   And Mr. Schroeder probably would have been moved to a rehabilitation unit to help him recover from recent memory, speech and physical impairments he suffered as a result of the strokes, which were detected Dec. 13.   But because he is both an artificial heart and stroke patient, Mr. Schroeder will share a quiet Christmas dinner with his family at Humana Hospital-Audubon. At times he has been listening to Christmas carols from a recording in a teddy bear that has a heart that lights up.    Dr. DeVries and three other doctors on the medical team said at a news conference that they have no target date for his release from the hospital. STROKES FOIL HEART PATIENT'S GOAL: TO BE HOME BY CHRISTMAS"
2000,"Correction of October 18 article on 'France Moves,' festival of contemporary French dance Corrections"
1997," Stock Prices Fall Sharply As Worries on Rates Grow  Stock prices tumbled after a report showed a jump in housing starts in February, as investors feared a strong economy could prompt the Fed to raise rates. The Dow Jones industrial average plunged to a loss of nearly 101 points with about a half-hour remaining before recovering to 6,896.56, down 58.92.   BUSINESS DIGEST"
1985,"  A diver working 20 feet underwater to remove silt from murky dockside water died today when his air supply was accidentally cut off, authorities said. DIVER AT WORK IN YONKERS DIES AS ACCIDENT CUTS AIR SUPPLY"
2011,The new superhero series is on NBC. Excerpt: 'The Cape'
1986,"  James H. Gray Sr., a Georgia publisher and former state Democratic chairman who drew wide attention two decades ago as he articulated a segregationist position in the tones of his native Massachusetts, died Friday of a heart attack at the New England Medical Center in Boston. A resident of Albany, Ga. since 1946, he was 70 years old.   Mr. Gray was head of the Albany-based Gray Communications Systems Inc. and editor and publisher of The Albany Herald, an evening and Sunday paper he bought in 1946. His company also operates television stations in Albany, Panama City, Fla., El Dorado, Ark., and Monroe, La., along with other commercial ventures. JAMES H. GRAY, 70, PUBLISHER AND A FORMER SEGREGATIONIST"
1961,performances revd Ballet: Enchanting Odette; Allegra Kent Scores in 'Swan Lake' -- 'Liebeslieder Walzer' Also Performed
1961, Shefkes -- Levey
1977,Article 3 &#8208;&#8208; No Title Article 3 ‐‐ No Title
1965,"Producing Artists, Assn of: Phoenix Theater's name to change when co ends repertory Sept 6 ROBBINS MAY DO 3-PART MUSICAL; Project Based on 3 Stories Is Under Discussion"
2000,Correction of July 20 article about New Jersey gubernatorial race; Democrat James McGreevey quoted Corrections
1990,"LEAD: Amy Elizabeth Barrett, the director of the New York office of Senator Daniel Patrick Moynihan, was married yesterday to Robert Lowell Gold, a vice president of Ridgewood Energy, an oil- and gas-investment concern in Ridgewood, N.J. Rabbi Charles Lippman and Msgr. John F. Casey officiated at the Fort Totten chapel in Bayside, Robert Gold Wed To Amy Barrett"
1982,"  To the Editor: To supplement the excellent article on guidebooks ''Baedeker and His Heirs'' (Travel, April 18) I must mention the publication ''The Ireland Guide'' published by the Irish Tourist Board that is a must for anyone touring Ireland. Guidebooks"
1981,"  His great-grandfather achieved the greatest of worldly success, but Alfred Brush Ford says he plans to renounce the world and immerse himself in the spiritual Hare Krishna movement in India.   ''I will come to India and settle here permanently to have the grace of the supreme God Krishna,'' the 31-year-old Mr. Ford said yesterday during a visit to Calcutta. Alfred Ford Takes a Turn to the Spiritual"
2004,"Sonya Haddad, opera translator for Metropolitan's seat-back subtitling system, dies at age 67 (S) Sonya Haddad, 67, Translator For Met Opera's Titling System"
2009,"The image of the 46-year-old Nicklaus at Augusta National’s No. 17, winning his record sixth Masters, the last of his 18 majors, is frozen in time. Putts Roll to Demand"
1964,auction of furniture and equipment starts Ira Haupt Auction Packed by Dealers
1976,Allied chmn John Connor regrets role in kepone contamination case and promises to help purge pesticide from environment; Connor says co has already subsidized research on cure for kepone poisoning (S) Allied Chemical ‘Regrets’ Role In Kepone Contamination Case
1985,"   Sears, Roebuck & Company, the nation's largest retailer, called today for government action to allow creation of what the company is calling ''family banks,'' which could offer financial services to consumers but be barred from making commercial loans.   Edward R. Telling, chairman of Sears, said there would be a huge potential market for such a new category of banks, because nearly $300 billion is on deposit in traditional savings accounts at rates below those available in the financial markets.   In a speech to the Economic Club of Detroit and a press briefing, Mr. Telling said changes in banking law to permit the new category would be resisted by the banking industry because it fears competition. Sears Wants to Create Limited 'Family Banks'"
1962, Collette Flynn Married To Harrison DeSilver
1992,"  Leslie Renchard Cashen, a freelance photographer in Washington, was married there yesterday to Judge Raymond Charles Clevenger 3d of the United States Court of Appeals for the Federal Circuit in Washington.    The Rev. Stephen Davenport performed the ceremony at St. Patrick's Episcopal Church.   Mrs. Cashen Clevenger, 46 years old, graduated from Sarah Lawrence College. She is the daughter of Mary M. Walker and John Renchard and the stepdaughter of Franklin Walker, all of Grosse Pointe Farms, Mich. Leslie R. Cashen, R. C. Clevenger"
1988,"LEAD: ''Gothic to Renaissance,'' an exhibition at Colnaghi, would do many a small museum proud even without Albrecht Altdorfer's ''Adoration of the Magi,'' which is its controversial centerpiece. This assortment of 30 European paintings from 1300 to 1600 includes unusually splendid works by Tintoretto and Lorenzo Monaco, Ridolfo del Ghirlandaio and Vittore Carpaccio. Review/Art; A Gathering of Old Masters, at Colnaghi"
1985,"  THE Sunset Park section of Brooklyn is about five years into a revival propelled by the availability of relatively affordable housing. But people who drive quickly through the neighborhood may miss its new vitality.   From the elevated Gowanus Expressway, they may see only the spectacular skeletons of steel warehouses sagging into the waterfront, or, if they take a shortcut down Third or Fourth Avenue, they will see the sort of urban blight that ensues when city planners carve landscaped boulevards into 10-lane highways, as they did there decades ago.   Drivers may also notice the egg-shaped dome of St. Michael's Roman Catholic Church rising high above 42d Street and wonder how such an lovely landmark got lost in the wasteland.   The short answer is that the neighborhood rose and fell with its shipping industry. Questionable urban planning, rapid population changes, block-busting and housing abandonment also took their toll.   SUNSET PARK"
1973,"June 1-13: police rept that terrorists bombed 2 taverns in downtown Belfast, N Ireland, on May 31 and sprayed 1 of them with machine-gun fire; 2 men are killed and at least 9 are injured; killings raise province's known death toll in nearly 4 yrs of sectarian violence to 808 Terrorists in Belfast Kill 2 Men and Wound 9"
1972,"Radical Berkeley (Calif) Councilmen Hancock, Bailey and Simmons complete 1st yr in office on May 6; supporters claim they have made city govt more responsive to student and minority communities; detractors charge they are 'divisive obstructionists'; Hancock cites resignation of moderates from city adm and increased power of neighborhood assns as examples of radical successes; holds range of issues discussed by Council and proposed solutions have expanded enormously; cites proposal to increase hiring of women and minorities for munic jobs; dispute over issue has resulted in 9-mo partial freeze on filling of govt vacancies; conservatives contend freeze has impaired employe morale and critically affected police services; Hancock says radicals have failed to win victories on many issues because of lack of majority on 9-member Council; radicals have been sharply divided on several issues, most serious being affirmative action programs; Hancock has been branded as 'counterrevolutionary' by Simmons and Bailey, who are black, because of her insistance that women receive same treatment as minorities in job hiring; Bailey and Simmons have been attacked by former supporters, including Repr Dellums, because of their refusal to reveal source of their income; have also been criticized for branding all opponents as 'racists' and 'reactionaries'; Councilman Kallgren, liberal, scores them for refusing to work with nonradical majority 3 RADICALS FINISH A YEAR IN OFFICE"
1962,"Palmyra pageant to mark founding set; illus; ch history, dogma, orgn and membership discussed Mormon Church, Begun in 1830, Still Grows; Membership Is Near 2 Million Pageant Opens Tonight By FOSTER HAILEY Special to The New York Times"
1961,"IN ""A Talk With B. Malamud,"" the author of the article speaks of Malamud's living in a farmhouses near Bennington with ""the memory of Ethan Allen."" Who was Ethan Allen? Isn't it possible that the author meant Ethan Frome?   Two Ethans Have We"
1969,"NYC develops plan to build STOLport within 3 yrs atop 10-story bldg to be erected along Hudson River on 17 blocks between Piers 66 and 73; map; plan was revealed in original text of city's master plan although aviation portion was not approved by Planning Comm: other recommendations include proposal to locate 4th jetport at Calverton, NY, and proposal to build jetport on artificial island south of Rockaways that would replace Kennedy; map City Plans to Build Hudson STOLport"
1967,"Israeli antiquities law, requiring hwy bldg to stop when archeological find is made, delays road bldg; Pub Works Dept puts another bend in Tel Aviv-Haifa road to avoid Phoenician city recently discovered near Atlit by engineer conducting preliminary soil survey; map HISTORY DEFLECTS NEW ISRAELI ROAD; Ruins of City Put a Bend in Tel Aviv-Haifa Route"
1986,"  Top-seeded Martina Navratilova defeated her doubles partner, Pam Shriver, 6-4, 6-4, tonight to advance to the final of the $150,000 Computerland United States Women's Indoor championship.   Miss Navratilova, who has won $9,974,424 and is seeking to become the first $10 million winner in tennis history, will meet Helena Sukova in the final Saturday. Miss Sukova defeated Hana Mandlikova, the defending champion, 6-2, 2-6, 6-3. NAVRATILOVA TOPS SHRIVER, 6-4, 6-4"
1991,"  Daw Aung San Suu Kyi, who won the Nobel Peace Prize yesterday, is the daughter of a revolutionary who is regarded as the founder of modern Burma: U Aung San, who was assassinated in 1947. She was 2 years old at the time and he was 32.    Mr. Aung San was the most powerful figure in Burmese politics when he and about a half-dozen other officials were killed by two men with automatic weapons who burst into their executive council meeting in Rangoon. He was the head of the Anti-Fascist People's Freedom League and de facto prime minister in an interim Government on the eve of the country's independence. Burma became formally free of British rule in January 1948. Father of Nobel Laureate Founded Modern Burma"
2004,"Increasing availability of more and more genetic tests raises issue of which ones to offer routinely to pregnant women and parents of newborns; Karen Coveler of Houston, whose son was born deaf, recalls taking 10 DNA tests, all negative, before becoming pregnant, but not being told about one that would have shown her risk for genetic form of deafness; critics say too many health care providers have not educated themselves about testing or do not volunteer information, in effect making value judgments about abortion, disabilities and risk that patients have right to make for themselves; medical societies also may not endorse scientifically valid testing for fear of litigation, or objections from those who say conditions like deafness are not diseases; American College of Obstetricians recommends test for cystic fibrosis, but not Fragile X, most common inherited form of retardation, risk for which is much higher; Angela Ross, whose son is affected, says she was never told about that test; Drs James Goldberg and Ronald Librizzi and others in field discuss ethical issues; photos (M) As Gene Test Menu Grows, Who Gets to Choose?"
1989,"LEAD: ''WHENEVER someone asks me about success in real estate, I tell them to plan to live a long time,'' said Ian Woodner, a builder of office and residential projects in New York and Washington. ''If you live long enough, everything you own will end up being worth something to you.'' Eighth Avenue Goes From Grit to Glitter"
1962,NO particular style of chess play can be characterized as typically Russian. The players of the Soviet Union are an ecletic lot. They select and use what seems best for them from various sources.   Chess:; Tal's Dash and Imagination Founder on Keres' Solidity
2002,"Jon Krakauer comment on climbing the Diamond, steep plane of rock on east face of Longs Peak in Rocky Mountain National Park; photo (special section, Favorites) (S) Trips; Sheer and Exhilarating"
2006,"The Yankees' depleted lineup never had more than one base runner in any inning and, besides a home run, did not advance a runner past first base. 	  Johnson's Frustration Continues to Fester"
1969,NYSE repts securities indus and major banks have hired Rand Corp and N Amer Rockwell to help solve paperwork problems; repts Rand begins 1-yr survey of indus aimed at developing systems and methods to be used in restructuring processing of paperwork and ownership transfers; repts N Amer Rockwell will seek to provide more immediate improvements in operating systems during next few mos; cos are expected to get some $1-million for initial efforts; 2 cos and indus are also working to develop 'early-warning' mgt information and control system to help brokers evaluate back-office performance and to spot and correct potential problems; other exch programs to improve situation noted Rand Corp. Hired to Help Wall Street Paper 'Mess'; WALL ST. RETAINS 'THINK TANK' HELP
2002,"Inside the NBA column contends that Sacramento Kings needed to suffer losses to Los Angeles Lakers in playoffs before team was ready to win NBA championship; New York Knicks player Charlie Ward impresses coach Don Chaney in preseason games; Knicks player Allan Houston sprains ankle in game against San Antonio Spurs; photo (M) Their Initiation Over, Kings' Time Is Now"
1967,M Frankland book on career revd; illus Little Pinya
2010,Letter to the editor regarding financing options for climate change initiatives. Investing in Our Future
2004,Florida's inspector general finds that child welfare agency head Jerry Regier accepted gifts from vendors and associations doing business with agency; Gov Jeb Bush says he is disappointed but is not considering asking for Regier's resignation; photo (S) National Briefing | South: Florida: Report Faults Child Welfare Officials
1981,"  The Inter-American Development Bank today announced the approval of two loans for $29.5 million under a program to extend credit to farmers in Panama. It said the loans would help bring an additional 62,000 acres under cultivation, increasing farm production by about 42 percent for such major crops as rice, corn, sorghum and soybeans as well as for dairy and beef cattle. Panama Farm Loan"
2017,"If you were to curate your own museum to showcase some of the things you have failed at, but learned from, over the years, what might one of the exhibits be? Exhibits for a Museum of Failure"
2019,"The oldest plants on earth serve as modest ballasts in floral arrangements, as well as in life. What Can Ferns Teach Us About Surviving Turbulent Times?"
1976,"CHOWCHILLA, Calif., July 16&#8212;Twenty&#8208;six children and their bus driver vanished after a summer school session in this rural central California community late yesterday, and the Federal Bureau of Investigation said it believed they were the victims of a mass abduction. 26 SCHOOLCHILDREN VANISH FROM A BUS IN CALIFORNIA; A MASS ABDUCTION FEARED"
2015,"An interpreter for the SEAL unit expanded on his initial account, as evidenced by an interview and written statement in the Naval Criminal Investigative Service report. The Interpreter’s View"
1986,"  To the Editor:   As the nation prepares for the rededication of the Statue of Liberty on the Fourth of July, it is appropriate to recall that just over two decades ago, another special ceremony took place there. On Oct. 3, 1965, at the base of the statue, in the presence of members of Congress, other Government officials and representatives of voluntary agencies serving immigrants and refugees, President Lyndon B. Johnson signed into law the Immigration Act of 1965.   This legislation, first recommended by President Kennedy, finally eliminated the notorious national-origins quota system. That shameful law, signed by President Coolidge in 1924, deliberately discriminated against migrants from eastern and southern Europe and the Far East, because Congress considered them inferior to northern or western Europeans. The 1924 legislation had been further reinforced by the McCarran-Walter Act of 1952, which was passed over President Truman's veto. Immigration Policy in the Light of a New Torch"
1960, Anouilh-Fry Play Planned
1965,make new demands; talks recessed NEWSPAPER TALKS MEET A NEW SNAG; Pressmen Make Additional Demands of Publishers
1972,Dr I H Scheinberg lr contrasts B-52 raids and killing of N Vietnamese with Pres Nixon's May 6 s supporting repeal of NY's abortion law Letters to the Editor
